,car,location,delay
0,Celerio,Delhi,No Waiting
1,Celerio X,Delhi,No Waiting
2,Swift,Delhi,No Waiting
3,Dzire,Delhi,No Waiting
4,Ertiga,Delhi,6 weeks
5,Vitara Brezza,Delhi,8 weeks
6,Celerio,Gurugram,8 weeks
7,Celerio X,Gurugram,8 weeks
8,Swift,Gurugram,8 weeks
9,Dzire,Gurugram,8 weeks
10,Ertiga,Gurugram,8 weeks
11,Vitara Brezza,Gurugram,8 weeks
12,Celerio,Noida,2 weeks
13,Celerio X,Noida,8 weeks
14,Swift,Noida,10 weeks
15,Dzire,Noida,2 weeks
16,Ertiga,Noida,8 weeks
17,Vitara Brezza,Noida,4 weeks
18,Celerio,Bengaluru,45 days
19,Celerio X,Bengaluru,45 days
20,Swift,Bengaluru,45 days
21,Dzire,Bengaluru,45 days
22,Ertiga,Bengaluru,10 weeks
23,Vitara Brezza,Bengaluru,7 weeks
24,Celerio,Mumbai,15 days
25,Celerio X,Mumbai,20 days
26,Swift,Mumbai,1 month
27,Dzire,Mumbai,3 weeks
28,Ertiga,Mumbai,4 weeks
29,Vitara Brezza,Mumbai,10 days
30,Celerio,Hyderabad,No Waiting
31,Celerio X,Hyderabad,No Waiting
32,Swift,Hyderabad,2 weeks
33,Dzire,Hyderabad,No Waiting
34,Ertiga,Hyderabad,7 weeks
35,Vitara Brezza,Hyderabad,2 weeks
36,Celerio,Pune,15 days
37,Celerio X,Pune,15 days
38,Swift,Pune,15 days
39,Dzire,Pune,15 days
40,Ertiga,Pune,15 days
41,Vitara Brezza,Pune,15 days
42,Celerio,Chennai,4 weeks
43,Celerio X,Chennai,4 weeks
44,Swift,Chennai,4 weeks
45,Dzire,Chennai,4 weeks
46,Ertiga,Chennai,4 weeks
47,Vitara Brezza,Chennai,4 weeks
48,Celerio,Jaipur,2 weeks
49,Celerio X,Jaipur,6 weeks
50,Swift,Jaipur,4 weeks
51,Dzire,Jaipur,4 weeks
52,Ertiga,Jaipur,4 weeks
53,Vitara Brezza,Jaipur,4 weeks
54,Celerio,Ahmedabad,No Waiting
55,Celerio X,Ahmedabad,No Waiting
56,Swift,Ahmedabad,No Waiting
57,Dzire,Ahmedabad,No Waiting
58,Ertiga,Ahmedabad,1 month
59,Vitara Brezza,Ahmedabad,No Waiting
60,Celerio,Lucknow,5 weeks
61,Celerio X,Lucknow,5 weeks
62,Swift,Lucknow,5 weeks
63,Dzire,Lucknow,5 weeks
64,Ertiga,Lucknow,5 weeks
