,Unnamed: 0,car,location,delay,price
0,0,Celerio,Delhi,No Waiting,"4,83,484"
1,1,Celerio X,Delhi,No Waiting,"5,35,587"
2,2,Swift,Delhi,No Waiting,"5,19,000"
3,3,Dzire,Delhi,No Waiting,"6,46,809"
4,4,Ertiga,Delhi,6 weeks,"8,50,531"
5,5,Vitara Brezza,Delhi,8 weeks,"8,24,347"
6,6,Celerio,Gurugram,8 weeks,"4,85,206"
7,7,Celerio X,Gurugram,8 weeks,"5,37,828"
8,8,Swift,Gurugram,8 weeks,"5,19,000"
9,9,Dzire,Gurugram,8 weeks,"6,49,760"
10,10,Ertiga,Gurugram,8 weeks,"8,55,615"
11,11,Vitara Brezza,Gurugram,8 weeks,"8,29,217"
12,12,Celerio,Noida,2 weeks,"4,97,801"
13,13,Celerio X,Noida,8 weeks,"5,51,836"
14,14,Swift,Noida,10 weeks,"5,19,000"
15,15,Dzire,Noida,2 weeks,"6,66,624"
16,16,Ertiga,Noida,8 weeks,"8,54,619"
17,17,Vitara Brezza,Noida,4 weeks,"8,28,249"
18,18,Celerio,Bengaluru,45 days,"5,25,380"
19,19,Celerio X,Bengaluru,45 days,"5,82,005"
20,20,Swift,Bengaluru,45 days,"5,18,999"
21,21,Dzire,Bengaluru,45 days,"7,02,688"
22,22,Ertiga,Bengaluru,10 weeks,"9,01,545"
23,23,Vitara Brezza,Bengaluru,7 weeks,"8,72,303"
24,24,Celerio,Mumbai,15 days,"5,20,584"
25,25,Celerio X,Mumbai,20 days,"5,76,189"
26,26,Swift,Mumbai,1 month,"5,19,000"
27,27,Dzire,Mumbai,3 weeks,"6,87,068"
28,28,Ertiga,Mumbai,4 weeks,"8,82,572"
29,29,Vitara Brezza,Mumbai,10 days,"8,53,418"
30,30,Celerio,Hyderabad,No Waiting,"5,22,419"
31,31,Celerio X,Hyderabad,No Waiting,"5,74,592"
32,32,Swift,Hyderabad,2 weeks,"5,19,000"
33,33,Dzire,Hyderabad,No Waiting,"6,80,052"
34,34,Ertiga,Hyderabad,7 weeks,"8,81,828"
35,35,Vitara Brezza,Hyderabad,2 weeks,"8,53,490"
36,36,Celerio,Pune,15 days,"5,18,457"
37,37,Celerio X,Pune,15 days,"5,74,452"
38,38,Swift,Pune,15 days,"5,19,000"
39,39,Dzire,Pune,15 days,"6,87,068"
40,40,Ertiga,Pune,15 days,"8,82,025"
41,41,Vitara Brezza,Pune,15 days,"8,53,355"
42,42,Celerio,Chennai,4 weeks,"5,13,995"
43,43,Celerio X,Chennai,4 weeks,"569,501"
44,44,Swift,Chennai,4 weeks,"519,000"
45,45,Dzire,Chennai,4 weeks,"6,81,178"
46,46,Ertiga,Chennai,4 weeks,"8,74,435"
47,47,Vitara Brezza,Chennai,4 weeks,"8,46,015"
48,48,Celerio,Jaipur,2 weeks,"5,16,554"
49,49,Celerio X,Jaipur,6 weeks,"5,70,349"
50,50,Swift,Jaipur,4 weeks,"5,18,690"
51,51,Dzire,Jaipur,4 weeks,"6,81,724"
52,52,Ertiga,Jaipur,4 weeks,"8,82,158"
53,53,Vitara Brezza,Jaipur,4 weeks,"8,52,874"
54,54,Celerio,Ahmedabad,No Waiting,"4,98,599"
55,55,Celerio X,Ahmedabad,No Waiting,"5,51,851"
56,56,Swift,Ahmedabad,No Waiting,"5,19,000"
57,57,Dzire,Ahmedabad,No Waiting,"6,57,618"
58,58,Ertiga,Ahmedabad,1 month,"8,42,708"
59,59,Vitara Brezza,Ahmedabad,No Waiting,"8,12,918"
60,60,Celerio,Lucknow,5 weeks,"5,04,631"
61,61,Celerio X,Lucknow,5 weeks,"5,59,110"
62,62,Swift,Lucknow,5 weeks,"519,000"
63,63,Dzire,Lucknow,5 weeks,"6,68,791"
64,64,Ertiga,Lucknow,5 weeks,"8,58,472"
65,65,Vitara Brezza,Lucknow,5 weeks,"8,30,578"
66,66,Celerio,Kolkata,6 weeks,"4,96,147"
67,67,Celerio X,Kolkata,4 weeks,"5,49,697"
68,68,Swift,Kolkata,4 weeks,"5,19,000"
69,69,Dzire,Kolkata,2 weeks,"6,57,618"
70,70,Ertiga,Kolkata,3 weeks,"8,44,075"
71,71,Vitara Brezza,Kolkata,4 weeks,"8,16,655"
72,72,Celerio,Chandigarh,4 weeks,"4,95,707"
73,73,Celerio X,Chandigarh,4 weeks,"5,49,207"
74,74,Swift,Chandigarh,4 weeks,"5,19,000"
75,75,Dzire,Chandigarh,4 weeks,"6,57,011"
76,76,Ertiga,Chandigarh,4 weeks,"8,43,292"
77,77,Vitara Brezza,Chandigarh,2 weeks,"8,15,898"
78,78,Celerio,Patna,No waiting,"5,15,355"
79,79,Celerio X,Patna,3 weeks,"5,70,370"
80,80,Swift,Patna,4 weeks,"5,19,000"
81,81,Dzire,Patna,4 weeks,"6,81,865"
82,82,Ertiga,Patna,17 weeks,"8,73,791"
83,83,Vitara Brezza,Patna,9 weeks,"8,51,440"
84,84,Celerio,Indore,5 weeks,"5,14,606"
85,85,Celerio X,Indore,5 weeks,"5,70,360"
86,86,Swift,Indore,5 weeks,"5,19,052"
87,87,Dzire,Indore,5 weeks,"6,68,849"
88,88,Ertiga,Indore,12 weeks,"8,64,315"
89,89,Vitara Brezza,Indore,5 weeks,"8,39,799"
90,90,Ignis,Delhi,1 month,"5,39,920"
91,91,Baleno,Delhi,1 month,"6,18,997"
92,92,Ciaz,Delhi,1 month,"9,29,062"
93,93,S-Cross,Delhi,1 month,"10,00,437"
94,94,Ignis,Gurugram,1 month,"5,44,365"
95,95,Baleno,Gurugram,6 weeks,"6,24,232"
96,96,Ciaz,Gurugram,1 month,"9,36,789"
97,97,S-Cross,Gurugram,1 month,"9,93,083"
98,98,Ignis,Noida,1 month,"5,57,571"
99,99,Baleno,Noida,1 month,"6,38,538"
100,100,Ciaz,Noida,1 month,"9,35,513"
101,101,S-Cross,Noida,1 month,"9,90,129"
102,102,Ignis,Bengaluru,10 days,"6,05,963"
103,103,Baleno,Bengaluru,10 days,"7,12,141"
104,104,Ciaz,Bengaluru,10 days,"10,28,029"
105,105,S-Cross,Bengaluru,10 days,"10,61,561"
106,106,Ignis,Mumbai,6 weeks,"5,67,805"
107,107,Baleno,Mumbai,6 weeks,"6,64,625"
108,108,Ciaz,Mumbai,6 weeks,"9,60,529"
109,109,S-Cross,Mumbai,6 weeks,"10,36,696"
110,110,Ignis,Hyderabad,45 days,"5,91,363"
111,111,Baleno,Hyderabad,45 days,"6,86,687"
112,112,Ciaz,Hyderabad,45 days,"9,94,425"
113,113,S-Cross,Hyderabad,45 days,"10,52,572"
114,114,Ignis,Pune,2 weeks,"5,72,755"
115,115,Baleno,Pune,3 weeks,"6,65,970"
116,116,Ciaz,Pune,3 weeks,"9,65,712"
